"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2016","1,479.93","1,448.13","1,495.90","1,408.78","519.05M","2.40%"
"01/01/2016","1,445.18","1,504.23","1,504.23","1,397.65","591.97M","-4.38%"
"12/01/2015","1,511.43","1,544.12","1,569.22","1,502.34","490.92M","-1.63%"
"11/01/2015","1,536.50","1,573.39","1,595.19","1,505.24","542.62M","-2.11%"
"10/01/2015","1,569.58","1,465.10","1,595.55","1,459.31","672.47M","6.96%"
"09/01/2015","1,467.45","1,421.15","1,487.74","1,386.62","564.86M","2.85%"
"08/01/2015","1,426.79","1,496.71","1,498.09","1,339.48","687.69M","-5.00%"
"07/01/2015","1,501.83","1,559.96","1,578.66","1,487.85","952.93M","-3.74%"
"06/01/2015","1,560.10","1,623.54","1,624.62","1,534.96","722.36M","-4.14%"
"05/01/2015","1,627.44","1,684.58","1,694.18","1,621.13","552.35M","-2.91%"
"04/01/2015","1,676.15","1,630.44","1,736.57","1,616.29","900.85M","2.41%"
"03/01/2015","1,636.78","1,625.06","1,679.30","1,609.69","736.70M","1.56%"
"02/01/2015","1,611.67","1,611.59","1,632.12","1,583.61","534.77M","0.00%"
"01/01/2015","1,611.74","1,582.18","1,635.93","1,548.79","642.64M","1.91%"
"12/01/2014","1,581.47","1,633.81","1,654.20","1,568.28","554.87M","-3.82%"
"11/01/2014","1,644.30","1,611.76","1,649.82","1,574.86","605.64M","1.80%"
"10/01/2014","1,615.26","1,635.72","1,635.72","1,526.28","676.69M","-1.68%"
"09/01/2014","1,642.90","1,709.26","1,713.02","1,631.73","521.36M","-3.91%"
"08/01/2014","1,709.76","1,740.72","1,752.73","1,686.68","561.52M","-2.51%"
"07/01/2014","1,753.79","1,686.07","1,780.73","1,657.26","718.38M","3.39%"
"06/01/2014","1,696.26","1,701.90","1,720.70","1,658.22","536.31M","-0.08%"
"05/01/2014","1,697.65","1,668.20","1,729.51","1,641.99","509.62M","2.16%"
"04/01/2014","1,661.78","1,679.05","1,716.85","1,653.18","632.96M","-1.09%"
"03/01/2014","1,680.03","1,674.36","1,686.09","1,610.26","605.04M","-0.44%"
"02/01/2014","1,687.42","1,638.43","1,689.10","1,598.27","655.72M","2.34%"
"01/01/2014","1,648.87","1,733.30","1,734.05","1,615.02","686.03M","-4.96%"
"12/01/2013","1,734.89","1,784.27","1,786.97","1,687.34","618.30M","-2.37%"
"11/01/2013","1,776.99","1,761.17","1,781.51","1,697.56","627.94M","1.43%"
"10/01/2013","1,752.01","1,708.83","1,800.45","1,707.62","720.98M","2.66%"
"09/01/2013","1,706.68","1,653.01","1,731.89","1,635.70","611.21M","3.25%"
"08/01/2013","1,652.99","1,614.07","1,652.99","1,564.93","664.02M","2.57%"
"07/01/2013","1,611.57","1,575.36","1,620.10","1,520.94","743.28M","1.62%"
"06/01/2013","1,585.84","1,706.61","1,720.20","1,504.77","659.20M","-7.38%"
"05/01/2013","1,712.18","1,665.94","1,726.88","1,634.72","720.44M","2.72%"
"04/01/2013","1,666.92","1,730.85","1,731.20","1,605.91","741.23M","-3.39%"
"03/01/2013","1,725.39","1,765.75","1,770.06","1,669.14","601.46M","-2.00%"
"02/01/2013","1,760.52","1,695.75","1,770.43","1,661.71","582.93M","4.08%"
"01/01/2013","1,691.49","1,745.95","1,776.26","1,656.56","773.75M","-2.24%"
"12/01/2012","1,730.31","1,669.77","1,749.70","1,662.74","612.15M","3.95%"
"11/01/2012","1,664.59","1,621.09","1,679.70","1,588.20","721.30M","2.03%"
"10/01/2012","1,631.49","1,715.55","1,726.44","1,609.98","649.42M","-4.75%"
"09/01/2012","1,712.87","1,633.34","1,736.26","1,596.13","711.88M","4.96%"
"08/01/2012","1,631.85","1,636.44","1,713.16","1,603.47","743.45M","-0.96%"
"07/01/2012","1,647.64","1,607.78","1,666.50","1,519.65","747.11M","3.15%"
"06/01/2012","1,597.29","1,590.07","1,661.43","1,540.09","711.42M","-0.21%"
"05/01/2012","1,600.64","1,758.35","1,764.84","1,548.29","873.71M","-8.31%"
"04/01/2012","1,745.65","1,751.59","1,795.86","1,701.70","774.82M","0.11%"
"03/01/2012","1,743.69","1,751.91","1,774.44","1,680.68","906.19M","0.15%"
"02/01/2012","1,741.13","1,659.85","1,754.19","1,659.41","1.14B","4.36%"
"01/01/2012","1,668.40","1,552.65","1,692.61","1,531.49","976.48M","8.00%"
